variable_name,length,position,question_name,concept,question_text,universe,note,source,answer_categories_json
ARX_40,1.0,264,ARX_Q40,Someone else could give emotional support to primary care receiver,"Was there anyone else, other than a paid caregiver, who could have provided this help
to your primary care receiver?",ARX_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""ARX_40"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""5060"", ""weighted_frequency"": ""5086545"", ""percent"": ""16.5""}, {""variable_name"": ""ARX_40"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""1628"", ""weighted_frequency"": ""1480464"", ""percent"": ""4.8""}, {""variable_name"": ""ARX_40"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""13525"", ""weighted_frequency"": ""24144599"", ""percent"": ""78.5""}, {""variable_name"": ""ARX_40"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARX_40"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""ARX_40"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""45"", ""weighted_frequency"": ""43577"", ""percent"": ""0.1""}]"
CCP_10,1.0,265,CCP_Q10,Primary care receiver considered respondent their primary caregiver,"Would you say that your primary care receiver considered/considers you to be his/her
primary caregiver?",1 <= PAR_10 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""CCP_10"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""3270"", ""weighted_frequency"": ""3129922"", ""percent"": ""10.2""}, {""variable_name"": ""CCP_10"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""3490"", ""weighted_frequency"": ""3602841"", ""percent"": ""11.7""}, {""variable_name"": ""CCP_10"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""12808"", ""weighted_frequency"": ""23274213"", ""percent"": ""75.7""}, {""variable_name"": ""CCP_10"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""648"", ""weighted_frequency"": ""690565"", ""percent"": ""2.2""}, {""variable_name"": ""CCP_10"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CCP_10"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""42"", ""weighted_frequency"": ""57644"", ""percent"": ""0.2""}]"
CCP_20,1.0,266,CCP_Q20,Respondent is the main contact for care receiver's care,"Do you believe you were/are the main contact or coordinator for your primary care re-
ceiver's care arrangements?",CCP_10 = 1,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""CCP_20"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""2829"", ""weighted_frequency"": ""2687235"", ""percent"": ""8.7""}, {""variable_name"": ""CCP_20"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""431"", ""weighted_frequency"": ""434389"", ""percent"": ""1.4""}, {""variable_name"": ""CCP_20"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16988"", ""weighted_frequency"": ""27625263"", ""percent"": ""89.8""}, {""variable_name"": ""CCP_20"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CCP_20"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""CCP_20"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""10"", ""weighted_frequency"": ""8297"", ""percent"": ""0.0""}]"
DVCG120C,2.0,267,,Number of primary care receiver's other caregivers,,1 <= PAR_10 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from CGN_Q120A
and CGN_Q120B.","[{""variable_name"": ""DVCG120C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""658"", ""weighted_frequency"": ""553061"", ""percent"": ""1.8""}, {""variable_name"": ""DVCG120C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 10"", ""frequency"": ""5036"", ""weighted_frequency"": ""5154986"", ""percent"": ""16.8""}, {""variable_name"": ""DVCG120C"", ""label"": ""More than 10 other caregivers"", ""code"": ""11"", ""frequency"": ""184"", ""weighted_frequency"": ""161268"", ""percent"": ""0.5""}, {""variable_name"": ""DVCG120C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""12808"", ""weighted_frequency"": ""23274213"", ""percent"": ""75.7""}, {""variable_name"": ""DVCG120C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""1497"", ""weighted_frequency"": ""1532926"", ""percent"": ""5.0""}, {""variable_name"": ""DVCG120C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DVCG120C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""75"", ""weighted_frequency"": ""78731"", ""percent"": ""0.3""}]"
RNA_10C,2.0,269,,Number of primary care receiver's other caregivers - Immediate family,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""RNA_10C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""325"", ""weighted_frequency"": ""257039"", ""percent"": ""0.8""}, {""variable_name"": ""RNA_10C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 07"", ""frequency"": ""3524"", ""weighted_frequency"": ""3612167"", ""percent"": ""11.7""}, {""variable_name"": ""RNA_10C"", ""label"": ""8 or more"", ""code"": ""08"", ""frequency"": ""165"", ""weighted_frequency"": ""159193"", ""percent"": ""0.5""}, {""variable_name"": ""RNA_10C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""RNA_10C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_10C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_10C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""4"", ""weighted_frequency"": ""3793"", ""percent"": ""0.0""}]"
RNA_20C,1.0,271,,Number of primary care receiver's other caregivers - Extended family,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""RNA_20C"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""2914"", ""weighted_frequency"": ""2910436"", ""percent"": ""9.5""}, {""variable_name"": ""RNA_20C"", ""label"": ""Number of other caregivers"", ""code"": ""1 - 3"", ""frequency"": ""873"", ""weighted_frequency"": ""907836"", ""percent"": ""3.0""}, {""variable_name"": ""RNA_20C"", ""label"": ""4 or more"", ""code"": ""4"", ""frequency"": ""222"", ""weighted_frequency"": ""206970"", ""percent"": ""0.7""}, {""variable_name"": ""RNA_20C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""RNA_20C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_20C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_20C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""9"", ""weighted_frequency"": ""6951"", ""percent"": ""0.0""}]"
RNA_30C,2.0,272,,"Number of prim. care receiver's other caregivers - Friends, neighbours",,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""RNA_30C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""2790"", ""weighted_frequency"": ""2932475"", ""percent"": ""9.5""}, {""variable_name"": ""RNA_30C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 06"", ""frequency"": ""1149"", ""weighted_frequency"": ""1024642"", ""percent"": ""3.3""}, {""variable_name"": ""RNA_30C"", ""label"": ""7 or more"", ""code"": ""07"", ""frequency"": ""67"", ""weighted_frequency"": ""58664"", ""percent"": ""0.2""}, {""variable_name"": ""RNA_30C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""RNA_30C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_30C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_30C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""12"", ""weighted_frequency"": ""16412"", ""percent"": ""0.1""}]"
RNA_40C,1.0,274,,Num. of prim. care receiver's other caregivers - Relationship unknown,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""RNA_40C"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""3939"", ""weighted_frequency"": ""3948058"", ""percent"": ""12.8""}, {""variable_name"": ""RNA_40C"", ""label"": ""Number of other caregivers"", ""code"": ""1 - 1"", ""frequency"": ""27"", ""weighted_frequency"": ""26576"", ""percent"": ""0.1""}, {""variable_name"": ""RNA_40C"", ""label"": ""2 or more"", ""code"": ""2"", ""frequency"": ""39"", ""weighted_frequency"": ""40148"", ""percent"": ""0.1""}, {""variable_name"": ""RNA_40C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""RNA_40C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_40C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""RNA_40C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""13"", ""weighted_frequency"": ""17411"", ""percent"": ""0.1""}]"
DNA_10C,2.0,275,,Number of primary care receiver's other caregivers - Female,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DNA_10C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""292"", ""weighted_frequency"": ""315837"", ""percent"": ""1.0""}, {""variable_name"": ""DNA_10C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 07"", ""frequency"": ""3593"", ""weighted_frequency"": ""3616191"", ""percent"": ""11.8""}, {""variable_name"": ""DNA_10C"", ""label"": ""8 or more caregivers"", ""code"": ""08"", ""frequency"": ""130"", ""weighted_frequency"": ""99452"", ""percent"": ""0.3""}, {""variable_name"": ""DNA_10C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""DNA_10C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_10C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_10C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""3"", ""weighted_frequency"": ""714"", ""percent"": ""0.0""}]"
DNA_15C,2.0,277,,Number of primary care receiver's other caregivers - Male,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DNA_15C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""727"", ""weighted_frequency"": ""661548"", ""percent"": ""2.2""}, {""variable_name"": ""DNA_15C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 07"", ""frequency"": ""3220"", ""weighted_frequency"": ""3309459"", ""percent"": ""10.8""}, {""variable_name"": ""DNA_15C"", ""label"": ""8 or more caregivers"", ""code"": ""08"", ""frequency"": ""66"", ""weighted_frequency"": ""58581"", ""percent"": ""0.2""}, {""variable_name"": ""DNA_15C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""DNA_15C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_15C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_15C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""5"", ""weighted_frequency"": ""2605"", ""percent"": ""0.0""}]"
DNA_18GR,1.0,279,,Number of primary care receiver's other caregivers - Sex unknown,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DNA_18GR"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""3952"", ""weighted_frequency"": ""3973901"", ""percent"": ""12.9""}, {""variable_name"": ""DNA_18GR"", ""label"": ""One or more"", ""code"": ""1"", ""frequency"": ""50"", ""weighted_frequency"": ""48973"", ""percent"": ""0.2""}, {""variable_name"": ""DNA_18GR"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""DNA_18GR"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_18GR"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_18GR"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""16"", ""weighted_frequency"": ""9319"", ""percent"": ""0.0""}]"
DVDNA20C,2.0,280,,Number of primary care receiver's other caregivers - Employed,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from DNA_Q20A
and DNA_Q20B.","[{""variable_name"": ""DVDNA20C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""658"", ""weighted_frequency"": ""553061"", ""percent"": ""1.8""}, {""variable_name"": ""DVDNA20C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 10"", ""frequency"": ""5036"", ""weighted_frequency"": ""5154986"", ""percent"": ""16.8""}, {""variable_name"": ""DVDNA20C"", ""label"": ""11 or more"", ""code"": ""11"", ""frequency"": ""184"", ""weighted_frequency"": ""161268"", ""percent"": ""0.5""}, {""variable_name"": ""DVDNA20C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""12808"", ""weighted_frequency"": ""23274213"", ""percent"": ""75.7""}, {""variable_name"": ""DVDNA20C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""1497"", ""weighted_frequency"": ""1532926"", ""percent"": ""5.0""}, {""variable_name"": ""DVDNA20C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DVDNA20C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""75"", ""weighted_frequency"": ""78731"", ""percent"": ""0.3""}]"
DNA_31C,1.0,282,,Number of primary care receiver's other caregivers - Age 19 or below,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DNA_31C"", ""label"": ""None"", ""code"": ""0"", ""frequency"": ""3732"", ""weighted_frequency"": ""3611023"", ""percent"": ""11.7""}, {""variable_name"": ""DNA_31C"", ""label"": ""Number of other caregivers"", ""code"": ""1 - 4"", ""frequency"": ""273"", ""weighted_frequency"": ""406079"", ""percent"": ""1.3""}, {""variable_name"": ""DNA_31C"", ""label"": ""5 or more"", ""code"": ""5"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_31C"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""DNA_31C"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_31C"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_31C"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""13"", ""weighted_frequency"": ""15091"", ""percent"": ""0.0""}]"
DNA_32C,2.0,283,,Number of primary care receiver's other caregivers - Age 19 to 44,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DNA_32C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""2194"", ""weighted_frequency"": ""1938808"", ""percent"": ""6.3""}, {""variable_name"": ""DNA_32C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 06"", ""frequency"": ""1733"", ""weighted_frequency"": ""1990139"", ""percent"": ""6.5""}, {""variable_name"": ""DNA_32C"", ""label"": ""7 or more"", ""code"": ""07"", ""frequency"": ""82"", ""weighted_frequency"": ""98558"", ""percent"": ""0.3""}, {""variable_name"": ""DNA_32C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""DNA_32C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_32C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_32C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""9"", ""weighted_frequency"": ""4688"", ""percent"": ""0.0""}]"
DNA_33C,2.0,285,,Number of primary care receiver's other caregivers - Age 45 to 64,,2 <= DVCGN120 <= 99,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DNA_33C"", ""label"": ""None"", ""code"": ""00"", ""frequency"": ""846"", ""weighted_frequency"": ""895724"", ""percent"": ""2.9""}, {""variable_name"": ""DNA_33C"", ""label"": ""Number of other caregivers"", ""code"": ""01 - 06"", ""frequency"": ""2985"", ""weighted_frequency"": ""2975706"", ""percent"": ""9.7""}, {""variable_name"": ""DNA_33C"", ""label"": ""7 or more"", ""code"": ""07"", ""frequency"": ""181"", ""weighted_frequency"": ""157433"", ""percent"": ""0.5""}, {""variable_name"": ""DNA_33C"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""16240"", ""weighted_frequency"": ""26722992"", ""percent"": ""86.9""}, {""variable_name"": ""DNA_33C"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_33C"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DNA_33C"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""6"", ""weighted_frequency"": ""3330"", ""percent"": ""0.0""}]"
